characters_arzt;Arzt
characters_baronin;Baronin
characters_butler;Butler
characters_ermittler;Ermittler
characters_junge_frau;Junge Frau
characters_kapitaen;Kapitaen
characters_ohi;Ohi
characters_wachmann;Wachmann
texts_a01_autoermittler_portemonnaie_mo_inventar;Porte-monnaie
spokentexts_a01_autoermittler_portemonnaie_ex_1_st_1;Je l'ai acheté la semaine dernière, en occasion. Je l'aime parce qu'il raconte une histoire.
spokentexts_a01_autoermittler_portemonnaie_ex_1_st_2;J'imagine que son précédent propriétaire l'a remplacé par un autre.
sequences_a05_auto_seq_a05_auto_intro#0;[The screen is still black, you only hear the sound.]
spokentexts_a05_auto_seq_a05_auto_intro_st_1_direction;certainly
spokentexts_a05_auto_seq_a05_auto_intro_st_1;C'est une preuve.
spokentexts_a05_auto_seq_a05_auto_intro_st_2;...et ma chance de partir avec vous.
sequences_a05_auto_seq_a05_auto_intro#3;[Shot of the investigator in the car.]
sequences_a05_auto_seq_a05_auto_intro#4;[Ohi and the investigators are sitting back in the car (idle).]
spokentexts_a05_auto_seq_a05_auto_intro_st_3_direction;unyielding
spokentexts_a05_auto_seq_a05_auto_intro_st_3;Le billet et tout le reste de l'enveloppe font partie de MON enquête.
spokentexts_a05_auto_seq_a05_auto_intro_st_4;Et vous n'avez aucun rôle à jouer au Caire.
sequences_a05_auto_seq_a05_auto_intro#7;[Shot onOhi.]
sequences_a05_auto_seq_a05_auto_intro#8;[Ohi turns over to investigators, leans forward (idle).]
spokentexts_a05_auto_seq_a05_auto_intro_st_5;Si je ne vous avais pas donné l'enveloppe, vous n'auriez pas la preuve que l'héritier du Corbeau serait sur ​​le navire.
sequences_a05_auto_seq_a05_auto_intro#10;[Cut to the investigator.]
spokentexts_a05_auto_seq_a05_auto_intro_st_6_direction;wipes the argument  aside
spokentexts_a05_auto_seq_a05_auto_intro_st_6;Bah ! Le navire est sa prochaine chance de voler l'oeil.
spokentexts_a05_auto_seq_a05_auto_intro_st_7;Et il n'abandonnera pas tant qu'il ne l'aura pas.
sequences_a05_auto_seq_a05_auto_intro#13;[Cut to Ohi.]
spokentexts_a05_auto_seq_a05_auto_intro_st_8;Et c'est précisément pourquoi vous devriez me laisser venir avec nous !
spokentexts_a05_auto_seq_a05_auto_intro_st_9;Non.
sequences_a05_auto_seq_a05_auto_intro#16;[Ohi is frustrated and falls back into the seat, looks out the window.]
texts_a05_frachtraum_ausgang_mo_leave_1a__1b;Quitter la soute
spokentexts_a05_frachtraum_ausgang_leave_1a_st_1;Si je pars maintenant, c'est fini pour moi.
spokentexts_a05_frachtraum_ausgang_leave_1a_st_2;Legrand aurait insisté pour que je quitte le navire.
spokentexts_a05_frachtraum_ausgang_leave_1a_st_3;Je ne peux pas le laisser !
spokentexts_a05_frachtraum_ausgang_leave_1b_st_1_direction;certainly
spokentexts_a05_frachtraum_ausgang_leave_1b_st_1;Non.
spokentexts_a05_frachtraum_ausgang_leave_1b_st_2;Je ne vais pas abandonner !
texts_a05_frachtraum_auto_mo_ex_1;Examiner le cabriolet
spokentexts_a05_frachtraum_auto_ex_1_st_1;C'est le cabriolet de la jeune femme.
spokentexts_a05_frachtraum_auto_ex_1_st_2;Apparemment, ils devaient absolument la PRENDRE en Égypte.
spokentexts_a05_frachtraum_auto_ex_1_st_3;Aux frais de papa, bien sûr.
texts_a05_frachtraum_scherben_mo_ex;Examiner les éclats
sequences_a05_frachtraum_scherben_ex_1#1;[Cut. The shards in the foreground, Ohi is shown from bottom to top.]
sequences_a05_frachtraum_scherben_ex_1#4;[Ohi lights on the shards, goes into a crouch.]
spokentexts_a05_frachtraum_scherben_ex_1_st_1;Ces éclats sont...
sequences_a05_frachtraum_scherben_ex_1#3;[Suddenly the sound of a rat that squeaks and knocks something.]
sequences_a05_frachtraum_scherben_ex_1#6;[Ohi jumps up, lights in the direction of the sound. Slowly, he calms down, annoyed at his own nervousness.]
spokentexts_a05_frachtraum_scherben_ex_1_st_2_direction;air escapes through the lips
spokentexts_a05_frachtraum_scherben_ex_1_st_2;Pff.
spokentexts_a05_frachtraum_scherben_ex_1_st_3;Je sursaute trop facilement.
sequences_a05_frachtraum_scherben_ex_1#11;[Ohi kneels down again to examine the pieces. Behind him a man become visible, his movement is like he raised an arm to strike. He is not to recognize, you see only a silhouette. Then the arm strikes, hits Ohi. Everything is black.]
sequences_a05_frachtraum_scherben_ex_1#12;[A horn sounds twice]
sequences_a05_frachtraum_scherben_ex_1#13;[End of section.]
texts_a05_frachtraum_taschenlampe_mo_ex_1;Examiner l'objet cylindrique
texts_a05_frachtraum_taschenlampe_mo_inventar;Lampe de poche
spokentexts_a05_frachtraum_taschenlampe_ex_1_st_1;Qu'est-ce que c'est ?
sequences_a05_frachtraum_taschenlampe_ex_1#2;[Ohi grabs the flashlight, takes them into the hand and fumbles it, until he suddenly switch on the light.]
spokentexts_a05_frachtraum_taschenlampe_ex_1_st_2;Aha !
